Temp,D.O. (mg/l),PH,B.O.D. (mg/l),TOTAL COLIFORM (MPN/100ml)Mean
25,7.6,7.2,2.5,45
25,9.9,7.2,1.5,55
24,7.6,7.4,2.1,408
22,5.5,2.9,6.8,33
16,7.6,7,1.3,27
17,7.7,7.1,1.4,22
23,8.3,7,1.7,33
25,6.9,2.6,3.2,21
25,7.7,6.3,2.1,326
25,8.8,7.3,1.5,35
25,7.3,7.3,2,36
20,7.5,7,1.7,40
22,7.8,7.1,1.6,33
20,7,7,2.4,2600
21,7.5,6.3,1.7,21
16,6.4,6.9,2.6,538
17,7.5,7.1,1.4,22
17,8,7.1,1.4,25
24,7.9,7.3,1.7,418
18,7.5,6.9,1.9,49
18,7.9,7.2,1.7,45
18,8,7.2,1.4,31
25,7.7,7.1,1.5,43
19,7.2,7.1,1.6,40
21,8.2,7.1,1.2,32
21,7.8,7.1,1.5,43
18,3.9,7.1,16.9,23000
18,4.9,7.1,14.2,15500
19,2.7,7.1,35.4,62667
19,2.5,7.1,37.2,87167
18,8,7,1.4,41
24,8.4,7.1,1.2,45
17,6.8,6.6,1.9,38
18,2.1,7,45.6,84500
19,4,7.1,22.4,45250
24,7.7,7.2,6.6,425
22,7.6,7.1,2,81
20,7.7,7.1,1.6,22
20,7.7,7.1,1.9,26
24,6.5,7.4,1,438
24,6.3,7.5,0.9,204
24,6.5,7.2,1.1,625
24,6.9,6.9,1.1,503
28,6.6,7.8,1.6,316
28,6.4,8,3.9,516
27,6.5,8,4.2,616
29.1,6.7,7.7,5,NAN
27,4.2,7.9,18,NAN
28.1,4.6,8,158.8,46
29.1,4.8,7.8,164,NAN
27.7,6.7,8.5,NAN,NAN
27.1,6.7,8.3,NAN,NAN
27.1,6.8,7.8,NAN,NAN
27.3,6.8,8.5,NAN,NAN
27,4.2,8.2,42,NAN
27.6,7.1,7.3,1.4,6
28.2,5,8.3,4.1,30
28,6.7,8,1.5,3550
28.5,5.8,7.7,2.5,6800
29.5,5.9,7.6,3.9,3200
27,7.6,7.7,10,77
29.5,6,7.7,3.6,2450
27,4.3,8.4,6.5,15
26.7,3.7,8.2,4.3,20
