Temp,DO,PH,BOD,Tot_col,WQI
30.0,5.6,7.2,2.1,447.0,61.436758976651774
27.8,6.9,6.8,0.6,3375.0,24.009306340646738
30.2,7.1,6.8,1.8,468.0,37.01329087501696
30.8,6.2,7.2,1.5,542.0,42.943182842646294
25.3,6.7,7.1,0.6,626.0,25.65030516089609
25.3,7.2,7.0,0.6,433.0,19.394268247434166
25.8,6.0,7.6,1.3,523.0,50.16351849489221
27.2,5.2,6.8,0.6,313.0,41.26189308348398
28.1,4.8,6.8,0.7,332.0,47.43135735920631
28.3,3.9,6.9,0.5,284.0,53.19850084148165
28.1,5.0,6.9,1.8,667.0,62.874873333333326
27.7,7.0,7.0,1.1,541.0,27.354601029716825
28.0,6.3,6.9,1.2,815.0,38.008392351542504
28.2,6.2,6.9,1.3,1007.0,40.81624902566748
28.0,5.7,6.8,1.9,759.0,57.89355280467673
28.1,5.7,6.9,3.1,1205.0,77.3459559094446
28.1,6.6,7.1,1.3,785.0,36.19022779301625
28.1,6.6,7.0,1.3,472.0,34.79483445968292
27.3,6.5,6.5,0.9,188.0,35.671293764581826
28.3,6.7,6.3,0.9,610.0,35.131913244982904
29.1,4.3,7.2,1.8,796.0,72.58986897789144
28.7,4.6,6.7,1.5,171.0,64.57870443661324
28.5,7.7,6.9,1.6,554.0,27.93068796194943
26.6,5.8,6.5,1.0,151.0,45.31416249106162
31.0,4.5,6.9,2.1,230.0,74.43563713076075
30.5,6.9,7.2,1.3,643.0,30.745520383158325
28.8,6.6,7.0,0.9,103.0,27.050020209393537
25.3,6.9,7.5,0.6,1633.0,29.105961062177986
25.9,5.5,7.6,1.3,141.0,54.96129050650067
26.5,5.4,7.8,0.8,107.0,49.725545012345194
18.9,7.1,7.8,0.7,1238.0,37.60271128915454
20.5,6.9,8.0,0.9,1563.0,44.0145565351289
27.1,7.3,7.3,2.4,65.0,50.2340197155738
26.3,7.5,7.5,2.1,74.0,46.46694910043159
29.1,6.4,7.2,1.0,1223.0,33.9402287108838
28.4,6.5,7.1,1.0,1342.0,32.29124323141013
24.7,7.7,7.9,1.3,40500.0,62.80395466897551
24.4,7.5,7.8,2.1,53556.0,85.57661792827474
22.7,7.3,7.2,0.7,13810.0,33.4972677377004
24.8,7.4,7.9,0.7,15213.0,39.67697180949259
24.0,7.4,7.8,1.9,12473.0,58.082984168302715
22.8,7.5,8.0,1.7,30319.0,68.5166836958131
26.8,7.2,8.0,1.5,4314.0,47.412407743652295
27.4,6.6,7.8,1.5,4224.0,50.802334863236986
25.3,7.5,7.9,1.0,8559.0,39.09002876602367
27.1,7.4,7.9,0.8,16709.0,39.45288173219295
29.0,6.7,7.3,1.8965,468.0,46.42819812613533
25.0,5.9,7.9,1.8965,468.0,65.25249246921173
25.0,6.5,7.3,1.8965,468.0,52.20997522646401
25.0,6.5,7.7,1.8965,468.0,57.01530855979735
32.0,6.0,7.1,1.8965,468.0,50.07701735035158
29.3,6.5,7.4,2.0,374.0,51.42480534752889
22.8,6.8,6.6,2.9,36.0,69.0719973276521
24.5,6.6,6.4,2.5,41.0,65.22459260412455
25.5,6.6,6.5,2.5,45.0,63.2556477319834
29.0,6.7,6.9,2.2,38.0,48.923489792802
23.8,6.7,6.3,2.7,32.0,69.41484306134693
22.8,6.7,6.4,4.6,34.0,101.27586784648622
29.0,6.6,7.2,2.7,60.0,59.84491823636267
29.0,6.7,7.0,2.5,51.0,52.83521645946866
23.0,6.6,6.2,2.5,38.0,68.68631100422341
29.0,6.8,6.9,2.5,48.0,52.836568015908
25.7,6.5,6.6,2.4,41.0,61.19634703074997
25.7,6.6,6.7,2.5,34.0,60.68537994391107
24.3,0.9,7.6,104.5,511090873.0,318730.9425666178
27.0,6.7,7.3,1.8965,468.0,48.502028831730954
22.7,5.8,7.2,6.0,4073.0,130.6981821116639
19.0,4.8,7.6,22.0,52500.0,446.2201035273651
23.0,5.5,7.3,10.0,5433.0,203.35675718881978
24.0,5.1,7.4,23.7,50333.0,469.01085128479036
24.7,5.5,7.4,10.0,29333.0,218.99777259302013
25.0,5.0,7.6,16.3,21667.0,328.6432066666667
22.0,4.9,7.7,27.5,72000.0,552.4793433063176
24.3,5.0,7.3,19.3,39533.0,387.1661266666667
23.3,5.3,7.2,13.3,7133.0,261.0911341872647
19.5,4.9,7.7,21.0,49500.0,427.8289669278875
21.5,4.1,7.5,23.0,57500.0,471.0697079964686
20.0,4.8,7.4,17.0,38000.0,349.81269781806645
27.0,6.7,8.2,19.8,468.0,363.9719204983976
27.0,6.7,7.9,18.2,468.0,333.1412538317309
32.6,4.0,6.8,3.0,9.0,98.97392974098098
23.6,7.8,7.8,1.3,17.0,36.942879982245344
23.9,7.7,7.7,1.3,22.0,36.2950605923786
24.5,7.6,7.9,1.6,22.0,44.01400381503576
27.0,6.7,7.2,88.0,468.0,1512.495253831731
18.1,4.4,7.1,41.0,224.0,733.8738532406275
25.1,5.9,8.0,0.9,15.0,49.17240248126116
22.3,6.0,7.2,0.8,15.0,38.118769116073786
23.7,5.6,7.9,1.1,4.0,54.6871997723181
