Temp,DO,PH,BOD,Tot_col,BOD_log,Tot_col_log
22.3,6.0,7.2,0.8,15.0,0.5877866649021191,2.772588722239781
23.7,5.6,7.9,1.1,4.0,0.7419373447293773,1.6094379124341003
23.9,6.2,8.1,1.0,6.0,0.6931471805599453,1.9459101490553132
25.5,7.2,7.5,2.3,74.0,1.1939224684724346,4.31748811353631
25.1,7.2,7.5,2.3,67.0,1.1939224684724346,4.219507705176107
25.2,7.5,7.3,1.8,70.0,1.0296194171811581,4.2626798770413155
23.2,7.5,7.5,2.4,506.0,1.2237754316221157,6.2285110035911835
20.1,5.3,3.3,7.7,36.0,2.163323025660538,3.6109179126442243
18.3,7.2,7.2,1.7,42.0,0.9932517730102833,3.7612001156935624
19.3,7.5,7.2,1.6,44.0,0.9555114450274363,3.8066624897703196
24.0,7.8,7.0,2.3,108.0,1.1939224684724346,4.6913478822291435
20.5,6.7,2.7,3.3,16.0,1.4586150226995167,2.833213344056216
21.2,7.3,6.6,2.5,386.0,1.252762968495368,5.958424693029782
26.3,7.4,7.3,1.8,55.0,1.0296194171811581,4.02535169073515
25.5,7.2,7.4,2.0,61.0,1.0986122886681098,4.127134385045092
20.0,7.3,7.1,1.9,53.0,1.0647107369924282,3.9889840465642745
20.3,7.3,7.1,2.0,50.0,1.0986122886681098,3.9318256327243257
19.4,6.6,7.1,2.6,3108.0,1.2809338454620642,8.042056410058754
21.0,7.3,5.6,1.8,34.0,1.0296194171811581,3.5553480614894135
19.2,5.1,7.0,3.6,780.0,1.5260563034950492,6.660575149839686
18.3,7.3,7.1,1.6,40.0,0.9555114450274363,3.713572066704308
19.6,7.7,7.2,1.6,36.0,0.9555114450274363,3.6109179126442243
23.7,7.6,7.3,2.1,528.0,1.1314021114911006,6.270988431858299
18.2,6.2,7.0,2.4,79.0,1.2237754316221157,4.382026634673881
